vehicle,site_xn_route,direction,loc_leg,month,day,y2018,y2019,y2020,ratio,tis_data_request,lat,long,loc_desc,x7,x8,version_2,x10,revision_date,x12,x29_09_2016
cycle,6411,N,59437,4,12,NA,1133,568,0.501323919,D208,-37.77237483,144.9906009,(BIKE PATH) ST. GEORGES RD N BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,N,59437,4,18,NA,1140,690,0.605263158,D208,-37.77237483,144.9906009,(BIKE PATH) ST. GEORGES RD N BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,N,59437,4,20,NA,410,459,1.119512195,D208,-37.77237483,144.9906009,(BIKE PATH) ST. GEORGES RD N BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,N,59437,4,26,NA,583,400,0.686106346,D208,-37.77237483,144.9906009,(BIKE PATH) ST. GEORGES RD N BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,1,NA,305,368,1.206557377,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,3,NA,869,617,0.710011507,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,4,NA,504,421,0.83531746,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,5,NA,380,231,0.607894737,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,6,NA,560,632,1.128571429,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,12,NA,570,504,0.884210526,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,18,NA,975,639,0.655384615,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,19,NA,609,459,0.753694581,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,25,NA,546,625,1.144688645,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,26,NA,557,564,1.012567325,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,1,27,NA,481,603,1.253638254,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,2,NA,603,614,1.018242123,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,8,NA,1252,695,0.555111821,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,9,NA,394,610,1.54822335,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,15,NA,1286,244,0.189735614,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,16,NA,650,636,0.978461538,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,22,NA,1298,701,0.540061633,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,2,23,NA,731,566,0.774281806,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,1,NA,1052,602,0.572243346,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,8,NA,1265,502,0.396837945,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,9,NA,514,641,1.247081712,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
