DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,7588,59451,24/04/2020,05:11:11,15,1,17.7,1.1,22214.8,22213.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,05:26:58,15,1,30.9,1.0,947.6,947.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,05:29:44,15,1,18.4,1.0,165.3,165.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,05:30:09,15,1,20.8,1.0,25.1,24.9,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,05:30:36,15,1,19.6,1.0,27.7,27.5,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,05:35:28,15,0,13.7,1.0,20729.2,20729.0,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,05:47:03,15,1,23.7,1.1,986.7,986.5,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,05:56:56,15,0,17.5,1.1,1288.0,1287.7,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,05:57:51,15,1,24.5,1.0,648.4,648.3,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,05:59:43,15,0,20.6,1.1,167.0,166.8,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:00:44,15,1,18.6,1.0,172.9,172.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:03:04,15,1,16.4,1.1,139.4,139.2,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:05:30,15,0,22.3,1.0,347.0,346.8,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:06:21,15,1,22.3,1.0,196.9,196.6,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:12:45,15,0,17.7,1.0,434.9,434.7,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:12:52,15,1,20.0,1.1,391.2,391.0,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:15:30,15,1,15.0,1.0,158.0,157.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:18:08,15,1,18.9,1.1,157.9,157.7,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:20:36,15,0,21.2,1.0,470.2,470.0,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:22:17,15,1,16.2,1.1,249.1,248.9,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:22:39,15,0,25.3,1.1,123.7,123.5,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:23:32,15,1,18.7,1.0,75.2,75.0,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:23:50,15,0,23.1,1.0,71.0,70.9,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:28:18,15,1,20.8,1.0,285.5,285.3,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:29:30,15,0,24.1,1.0,339.8,339.6,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:29:48,15,1,18.4,1.0,89.9,89.7,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:30:08,15,1,19.6,1.0,20.7,20.5,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:30:16,15,0,17.4,1.1,46.4,46.2,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:31:10,15,1,20.3,1.0,61.3,61.1,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:31:12,15,1,19.0,1.0,2.4,2.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:31:42,15,1,14.3,1.1,30.0,29.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:33:08,15,1,11.5,1.0,86.1,85.9,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:34:27,15,1,14.6,1.0,79.1,78.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:34:42,15,1,16.0,1.1,14.9,14.6,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:35:29,15,1,24.3,1.0,46.6,46.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:37:08,15,1,16.6,1.1,99.4,99.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:37:21,15,1,23.2,1.1,13.4,13.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:39:06,15,1,23.1,1.1,104.5,104.4,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:39:17,15,1,18.9,1.1,11.0,10.8,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:41:04,15,0,23.2,1.0,647.7,647.4,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:41:17,15,1,17.2,1.1,120.4,120.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:42:44,15,1,17.6,1.0,86.4,86.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:43:59,15,1,27.7,1.0,75.3,75.1,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:44:02,15,1,21.7,1.0,3.0,2.9,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:44:41,15,1,23.8,1.0,38.4,38.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:46:17,15,1,23.4,1.1,96.0,95.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:48:45,15,1,18.5,1.0,148.4,148.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:49:58,15,1,18.3,1.0,72.5,72.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:50:16,15,1,29.0,1.0,18.3,18.1,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:50:29,15,1,20.5,1.0,13.4,13.3,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:50:35,15,0,7.7,1.0,571.1,570.9,2,1,1.00,CYCLE,E
IND,208,7588,59450,24/04/2020,06:51:42,15,0,17.4,1.0,66.8,66.4,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:51:46,15,1,18.7,1.0,77.0,76.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:51:47,15,1,20.1,1.0,0.5,0.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:51:48,15,1,22.2,1.0,0.8,0.6,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:51:48,15,1,24.6,1.0,0.9,0.7,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:52:27,15,1,28.0,1.0,38.9,38.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:52:45,15,1,23.7,1.1,17.3,17.2,2,1,1.00,CYCLE,W
IND,208,7588,59450,24/04/2020,06:54:00,15,0,12.5,1.2,138.3,138.1,2,1,1.00,CYCLE,E
IND,208,7588,59450,24/04/2020,06:55:55,15,0,24.2,1.0,114.6,114.3,2,1,1.00,CYCLE,E
IND,208,7588,59451,24/04/2020,06:58:22,15,1,19.0,1.0,337.3,337.2,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:58:54,15,1,19.7,1.0,31.8,31.6,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:58:57,15,1,24.8,1.0,2.8,2.6,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:58:58,15,1,23.7,1.0,1.4,1.3,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,06:59:05,15,1,24.6,1.0,7.0,6.8,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,07:00:03,15,1,22.8,1.0,57.7,57.6,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,07:00:13,15,1,15.5,1.0,10.0,9.9,2,1,1.00,CYCLE,W
IND,208,7588,59451,24/04/2020,07:01:41,15,1,24.0,1.1,88.3,88.0,2,1,1.00,CYCLE,W
