DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,8192,59456,22/07/2019,03:41:31,15,0,22.8,1.0,0.0,0.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:08:38,15,0,23.3,0.9,5227.3,5227.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:14:57,15,0,25.3,1.1,378.5,378.4,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,05:47:38,15,1,22.6,1.0,435.0,434.4,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,05:51:31,15,0,25.1,1.0,2194.3,2194.2,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:53:14,15,0,25.2,1.0,102.9,102.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:54:30,15,0,23.9,1.1,75.5,75.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:56:14,15,0,26.7,1.0,104.0,103.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,05:56:26,15,0,27.7,1.0,12.5,12.3,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,05:56:48,15,1,22.0,1.0,550.0,549.9,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:01:47,15,0,19.2,1.1,320.4,320.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:05:00,15,0,26.9,1.0,193.0,192.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:09:50,15,0,19.5,1.1,290.9,290.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:11:01,15,0,23.6,1.1,70.5,70.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:12:52,15,0,23.9,1.0,110.6,110.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:15:00,15,0,28.7,1.0,128.0,127.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:15:00,15,0,28.7,1.0,0.5,0.4,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:16:00,15,1,18.1,1.1,1151.8,1151.7,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:18:17,15,0,27.5,1.0,197.2,197.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:18:21,15,0,25.8,1.0,3.3,3.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:19:30,15,0,26.2,1.0,68.9,69.1,2,1,0.80,CYCLE,N
IND,208,8192,59456,22/07/2019,06:20:55,15,0,19.5,1.1,85.4,85.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:21:18,15,0,25.8,1.0,22.9,22.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:23:40,15,0,25.2,1.1,141.7,141.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:23:55,15,0,25.7,1.0,15.9,15.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:24:07,15,0,27.3,1.1,12.0,11.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:24:36,15,0,20.9,1.1,29.0,28.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:25:18,15,0,29.3,1.0,42.0,41.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:25:27,15,0,26.1,1.0,8.7,8.6,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:26:03,15,1,3.3,0.4,602.5,602.6,2,1,1.00,CYCLE,S
IND,208,8192,59457,22/07/2019,06:27:42,15,1,22.2,1.1,99.7,98.9,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:29:23,15,0,28.2,1.0,165.4,164.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:31:11,15,0,23.2,1.2,108.3,108.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:32:23,15,0,25.7,1.1,71.4,71.2,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:32:54,15,0,28.6,1.0,31.3,31.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:34:15,15,0,27.1,1.1,81.4,81.3,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:35:52,15,1,18.5,1.0,489.2,489.1,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:38:45,15,0,19.9,1.1,269.5,269.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:38:55,15,0,23.2,1.1,9.9,9.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:41:15,15,0,28.4,1.0,139.9,139.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:41:24,15,0,22.4,1.0,9.5,9.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:41:25,15,0,21.8,1.0,0.5,0.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:41:37,15,0,4.8,1.0,2.8,2.8,2,1,0.29,CYCLE,N
IND,208,8192,59456,22/07/2019,06:43:59,15,0,26.5,1.1,142.5,141.2,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:45:08,15,1,23.5,1.0,556.4,556.2,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:45:43,15,0,24.4,1.1,103.9,103.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:46:55,15,0,25.4,1.0,71.8,71.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:49:35,15,0,27.3,1.0,9.7,9.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:50:16,15,0,24.4,1.0,40.3,40.2,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:51:14,15,0,25.7,1.1,58.7,58.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:52:22,15,0,28.7,1.0,68.3,68.1,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:52:38,15,1,22.0,1.0,449.9,449.7,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:53:25,15,0,28.1,1.1,62.6,62.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:53:37,15,0,30.1,1.0,11.9,11.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:53:38,15,0,29.9,1.0,0.6,0.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:53:47,15,0,25.6,1.1,9.7,9.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:54:04,15,0,24.2,1.1,16.7,16.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:54:05,15,0,23.6,1.1,1.0,0.8,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:54:19,15,1,23.9,1.0,96.4,96.3,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:55:27,15,0,32.5,1.0,82.2,82.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:55:28,15,0,29.9,1.0,1.1,1.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:55:59,15,0,31.5,1.1,30.7,30.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:56:03,15,0,27.7,1.0,4.0,3.9,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,06:56:07,15,1,20.8,1.1,107.7,107.6,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,06:56:09,15,0,30.3,1.0,5.7,5.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:58:26,15,0,27.3,1.0,137.4,137.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:58:30,15,0,26.2,1.0,4.1,4.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:58:50,15,0,29.7,1.0,19.9,19.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,06:58:56,15,0,25.0,1.0,6.2,6.0,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:01:53,15,0,22.8,1.1,177.3,177.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:02:36,15,0,28.9,1.0,42.7,42.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:03:13,15,0,19.5,1.0,37.0,36.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:03:21,15,0,27.6,1.0,7.9,7.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:04:29,15,0,27.8,1.1,67.6,67.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:04:45,15,0,26.3,1.1,16.1,16.0,2,1,1.00,CYCLE,N
IND,208,8192,59457,22/07/2019,07:04:55,15,1,22.1,1.0,528.3,528.1,2,1,1.00,CYCLE,S
IND,208,8192,59456,22/07/2019,07:05:03,15,0,29.0,1.1,18.6,18.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:05:04,15,0,28.4,1.0,0.6,0.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:05:37,15,0,27.2,1.0,32.9,32.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:05:37,15,0,27.8,1.1,0.5,0.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:06:22,15,0,25.9,1.0,44.7,44.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:06:54,15,0,26.2,1.0,32.1,31.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:07:01,15,0,29.0,1.0,6.8,6.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:07:04,15,0,30.0,1.0,3.5,3.4,2,1,1.00,CYCLE,N
IND,208,8192,59456,22/07/2019,07:07:06,15,0,29.6,1.1,2.0,1.9,2,1,1.00,CYCLE,N
