DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,32614,61173,01/03/2020,11:03:49,15,0,15.4,1.0,20.1,20.1,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:03:52,15,0,14.8,1.0,3.0,3.7,2,1,0.80,CYCLE,N
IND,208,32614,61173,01/03/2020,11:04:13,15,0,17.3,1.1,21.2,20.1,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:04:17,15,0,14.7,1.1,3.5,3.3,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:06:28,15,0,19.7,1.0,131.6,131.3,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:07:22,15,1,24.2,1.0,139.0,136.9,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:09:04,15,1,18.3,1.1,102.3,102.1,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:10:02,15,0,14.5,1.1,0.8,0.6,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:10:58,15,1,16.6,1.0,42.4,38.8,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:11:22,15,0,13.3,1.0,79.7,79.4,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:11:23,15,0,13.7,1.0,1.0,0.8,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:11:42,15,1,14.1,1.0,13.9,11.3,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:11:51,15,1,20.9,1.0,8.8,8.6,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:11:52,15,1,21.4,1.0,1.0,0.9,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:12:10,15,1,15.2,1.1,18.3,18.2,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:12:14,15,1,16.0,1.0,3.4,3.2,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:12:36,15,1,12.9,0.9,21.9,21.6,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:12:43,15,1,8.3,1.0,7.6,7.5,2,1,0.33,CYCLE,S
IND,208,32614,61173,01/03/2020,11:13:32,15,0,18.2,1.1,55.3,54.3,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:13:32,15,1,14.3,1.0,49.2,48.1,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:13:33,15,0,20.3,1.1,1.3,1.1,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:13:37,15,0,12.2,1.0,4.5,4.3,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:13:38,15,0,11.9,0.9,1.0,0.7,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:14:09,15,0,20.3,0.9,30.8,30.5,2,1,1.00,CYCLE,N
IND,208,32614,61173,01/03/2020,11:14:10,15,0,21.6,1.0,1.0,0.9,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:14:26,15,1,23.8,1.0,53.5,53.3,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:15:18,15,0,2.6,1.0,67.8,67.6,2,1,0.67,CYCLE,N
IND,208,32614,61173,01/03/2020,11:15:18,15,0,2.6,1.0,0.0,0.0,2,1,0.67,CYCLE,N
IND,208,32614,61173,01/03/2020,11:15:18,15,0,2.6,1.0,0.0,0.0,2,1,0.67,CYCLE,N
IND,208,32614,61173,01/03/2020,11:15:18,15,0,2.6,1.0,0.0,0.0,2,1,0.67,CYCLE,N
IND,208,32614,61174,01/03/2020,11:15:38,15,1,19.9,1.1,13.9,13.9,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:15:40,15,1,18.6,1.0,1.5,1.4,2,1,0.50,CYCLE,S
IND,208,32614,61174,01/03/2020,11:15:53,15,1,22.1,1.1,13.5,12.7,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:16:30,15,0,10.7,1.0,7.5,7.5,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:16:36,15,1,10.9,1.0,43.1,42.9,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:16:46,15,1,15.1,1.0,9.4,9.1,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:19:49,15,0,13.8,1.0,19.6,18.3,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:19:50,15,1,3.6,1.0,49.8,50.2,2,1,0.35,CYCLE,S
IND,208,32614,61174,01/03/2020,11:19:50,15,1,3.6,1.0,0.0,0.0,2,1,0.35,CYCLE,S
IND,208,32614,61174,01/03/2020,11:19:50,15,1,3.6,1.0,0.0,0.0,2,1,0.35,CYCLE,S
IND,208,32614,61174,01/03/2020,11:20:23,15,1,7.0,1.0,33.4,29.9,2,1,0.33,CYCLE,S
IND,208,32614,61174,01/03/2020,11:21:23,15,1,19.4,1.1,19.6,19.1,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:22:05,15,1,15.6,1.1,42.4,42.2,2,1,1.00,CYCLE,S
IND,208,32614,61174,01/03/2020,11:22:06,15,1,15.5,1.0,0.7,0.5,2,1,1.00,CYCLE,S
IND,208,32614,61173,01/03/2020,11:22:21,15,0,16.8,0.9,152.6,152.3,2,1,1.00,CYCLE,N
IND,208,32614,61174,01/03/2020,11:23:37,15,1,22.8,1.1,91.6,91.3,2,1,1.00,CYCLE,S
