DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,6415,59486,16/02/2015,00:15:27,15,1,43.4,1.2,0.0,0.0,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,00:50:24,15,1,25.9,1.1,2096.9,2096.9,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,00:57:33,15,0,11.3,1.0,2525.9,2525.9,2,1,1.00,CYCLE,E
IND,208,6415,59485,16/02/2015,01:25:43,15,0,19.9,1.1,1690.3,1689.9,2,1,1.00,CYCLE,E
IND,208,6415,59485,16/02/2015,02:41:11,15,0,16.5,1.1,4528.2,4528.0,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,04:42:14,15,1,27.3,1.0,13910.0,13909.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:43:28,15,1,27.9,1.1,74.3,74.1,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:45:59,15,1,29.0,1.0,151.0,150.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:48:21,15,1,23.2,1.1,141.7,141.6,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:50:11,15,1,29.0,0.9,110.1,109.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:50:48,15,1,37.2,1.0,37.3,37.1,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:51:02,15,1,19.7,1.1,14.0,13.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,04:51:04,15,1,19.0,1.0,2.4,2.2,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,04:51:18,15,0,32.1,1.0,7807.0,7807.7,2,1,0.80,CYCLE,E
IND,208,6415,59485,16/02/2015,04:53:50,15,0,11.2,0.2,152.0,150.9,2,1,1.00,CYCLE,E
IND,208,6415,59485,16/02/2015,04:55:31,15,0,20.9,1.1,100.6,100.6,2,1,1.00,CYCLE,E
IND,208,6415,59485,16/02/2015,04:55:31,15,0,21.3,1.1,0.6,0.4,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,04:57:35,15,1,20.5,1.0,390.6,390.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:03:30,15,1,28.0,1.0,355.3,355.1,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:04:19,15,1,20.0,1.1,48.3,48.2,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:04:25,15,1,27.4,1.1,5.9,5.7,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:07:51,15,1,32.6,1.0,206.2,206.1,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:08:28,15,1,22.0,1.1,37.3,37.3,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:08:44,15,1,28.3,1.1,16.1,15.9,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,05:09:01,15,0,28.0,1.0,809.9,809.7,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,05:09:27,15,1,25.6,1.1,43.1,42.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:09:41,15,1,27.7,1.1,13.4,13.3,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:10:24,15,1,27.4,1.1,43.1,43.0,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:11:36,15,1,22.7,1.1,71.8,71.7,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,05:11:38,15,0,23.4,1.1,157.1,156.9,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,05:15:41,15,1,26.6,1.1,245.5,245.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:16:18,15,1,31.3,1.0,37.2,37.0,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:16:33,15,1,28.5,1.0,14.2,14.1,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,05:16:35,15,0,25.7,1.1,296.3,296.2,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,05:16:35,15,1,33.8,1.0,2.7,2.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:17:02,15,1,27.6,1.0,27.3,27.2,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:20:02,15,1,28.8,1.0,179.4,179.3,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:20:11,15,1,27.8,1.0,9.0,8.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:20:20,15,1,31.5,1.0,9.0,8.9,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,05:21:41,15,0,27.3,1.0,306.6,306.5,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,05:23:05,15,1,32.4,1.0,165.6,165.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:24:30,15,1,25.8,1.1,84.8,84.7,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:25:52,15,1,27.8,1.0,81.9,81.8,2,1,1.00,CYCLE,W
IND,208,6415,59485,16/02/2015,05:26:18,15,0,25.5,1.0,277.1,277.0,2,1,1.00,CYCLE,E
IND,208,6415,59486,16/02/2015,05:30:03,15,1,28.6,1.0,250.6,250.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:30:59,15,1,25.3,1.0,56.6,56.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:13,15,1,27.1,1.0,74.0,73.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:14,15,1,26.7,1.0,1.0,0.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:21,15,1,24.0,1.1,6.6,6.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:22,15,1,32.9,1.0,1.0,0.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:27,15,1,28.9,1.0,5.0,4.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:32:46,15,1,27.9,1.0,19.1,18.9,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:33:24,15,1,29.9,1.0,38.3,38.1,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:34:09,15,1,25.8,1.0,44.9,44.7,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:35:17,15,1,30.6,1.0,67.6,67.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:35:45,15,1,18.8,1.1,28.6,28.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:35:50,15,1,28.9,1.0,4.8,4.6,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:36:01,15,1,32.9,0.9,10.7,10.6,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:36:15,15,1,26.1,1.0,13.9,13.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:01,15,1,27.5,1.1,105.9,105.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:15,15,1,35.9,1.0,14.7,14.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:28,15,1,26.9,1.0,12.5,12.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:33,15,1,30.4,1.0,5.6,5.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:42,15,1,28.1,1.0,8.5,8.4,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:38:55,15,1,32.4,1.0,12.7,12.6,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:39:19,15,1,25.8,1.0,23.9,23.8,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:39:27,15,1,27.9,1.0,8.4,8.2,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:39:32,15,1,23.2,1.0,5.1,5.0,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:40:02,15,1,27.9,1.1,29.9,29.7,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:41:18,15,1,24.4,1.0,75.7,75.5,2,1,1.00,CYCLE,W
IND,208,6415,59486,16/02/2015,05:41:20,15,1,29.8,1.0,2.7,2.5,2,1,1.00,CYCLE,W
