DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,7604,59467,18/02/2019,04:11:10,15,1,18.7,1.0,0.0,0.1,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,04:11:59,15,0,30.4,1.0,49.4,49.4,2,1,1.00,CYCLE,N
IND,208,7604,59466,18/02/2019,04:15:41,15,0,26.9,1.1,221.9,221.8,2,1,1.00,CYCLE,N
IND,208,7604,59467,18/02/2019,04:34:56,15,1,16.7,1.0,1426.8,1426.6,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,04:39:31,15,1,12.1,1.1,274.8,274.6,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,04:42:15,15,0,25.3,1.0,1594.5,1594.4,2,1,0.33,CYCLE,N
IND,208,7604,59467,18/02/2019,04:44:48,15,1,11.5,1.1,316.7,316.4,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,04:51:39,15,0,32.0,1.0,563.9,563.8,2,1,0.80,CYCLE,N
IND,208,7604,59467,18/02/2019,04:53:10,15,1,25.7,1.1,502.4,502.0,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:02:40,15,1,15.3,1.0,570.0,569.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:04:28,15,1,20.1,1.0,107.6,107.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:04:40,15,1,12.3,1.0,12.0,11.8,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,05:05:04,15,0,11.7,1.0,804.4,804.2,2,1,1.00,CYCLE,N
IND,208,7604,59467,18/02/2019,05:06:08,15,1,15.3,1.1,88.0,87.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:06:18,15,1,25.1,1.0,10.6,10.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:13:36,15,1,19.9,1.0,437.8,437.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:15:03,15,1,19.6,0.9,86.6,86.4,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:15:33,15,1,14.2,1.0,30.3,30.1,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,05:18:59,15,0,32.8,1.0,835.6,835.3,2,1,0.80,CYCLE,N
IND,208,7604,59467,18/02/2019,05:31:50,15,1,13.6,1.0,976.8,976.5,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,05:31:54,15,0,27.3,1.0,774.9,774.8,2,1,1.00,CYCLE,N
IND,208,7604,59467,18/02/2019,05:35:19,15,1,12.7,1.0,209.5,209.2,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:37:09,15,1,22.3,1.0,109.7,109.4,2,1,0.50,CYCLE,S
IND,208,7604,59466,18/02/2019,05:37:09,15,0,22.3,1.0,0.0,0.0,2,1,0.50,CYCLE,N
IND,208,7604,59467,18/02/2019,05:37:10,15,1,21.2,1.0,0.8,0.4,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:39:00,15,1,14.9,1.1,110.2,110.0,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:41:38,15,1,1.5,1.0,158.0,157.6,2,1,0.55,CYCLE,S
IND,208,7604,59467,18/02/2019,05:42:17,15,1,15.6,1.0,39.4,37.4,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:42:29,15,1,17.6,1.1,11.8,11.6,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:42:32,15,1,17.6,0.9,3.0,2.8,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:43:02,15,1,20.1,1.0,30.1,29.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:44:32,15,1,25.0,1.0,89.2,89.0,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:44:55,15,1,18.3,1.1,23.0,22.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:47:34,15,1,18.3,0.9,159.0,158.8,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,05:49:03,15,0,30.8,1.0,1029.2,1029.1,2,1,1.00,CYCLE,N
IND,208,7604,59467,18/02/2019,05:52:25,15,1,18.6,1.0,291.3,291.1,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:52:44,15,1,24.9,1.0,19.1,18.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:53:51,15,1,17.8,1.0,66.8,66.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:53:52,15,1,16.9,1.1,0.8,0.6,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:54:49,15,1,16.7,1.2,57.3,57.0,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:55:33,15,1,16.8,1.0,43.8,43.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:56:06,15,1,17.0,1.1,33.4,33.2,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:56:22,15,1,13.9,1.1,16.3,16.1,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:57:44,15,1,21.1,1.0,81.6,81.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:58:06,15,1,22.4,1.0,22.0,21.8,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:58:35,15,1,22.3,1.0,29.3,29.1,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,05:58:53,15,1,23.1,1.0,17.7,17.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:00:11,15,1,19.6,1.1,78.4,78.2,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,06:00:35,15,0,12.3,1.0,692.1,692.0,2,1,0.57,CYCLE,N
IND,208,7604,59467,18/02/2019,06:00:46,15,1,14.8,1.0,35.1,34.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:01:57,15,1,21.6,1.0,71.0,70.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:02:13,15,1,33.3,1.1,15.8,15.6,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:02:17,15,1,21.0,1.0,3.6,3.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:02:24,15,1,19.5,1.0,6.8,6.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:04:24,15,1,19.2,1.0,92.6,92.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:04:59,15,1,21.4,1.0,34.8,34.6,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:05:19,15,1,17.9,1.0,19.5,19.4,2,1,1.00,CYCLE,S
IND,208,7604,59466,18/02/2019,06:06:06,15,0,31.6,1.0,330.2,329.9,2,1,0.80,CYCLE,N
IND,208,7604,59467,18/02/2019,06:06:14,15,1,15.2,1.1,55.1,54.9,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:06:25,15,1,17.3,1.1,10.9,10.7,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:06:54,15,1,20.1,1.0,28.7,28.4,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:07:11,15,1,15.7,1.0,17.4,17.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:07:30,15,1,19.5,1.0,19.3,19.0,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:07:44,15,1,20.5,0.9,13.7,13.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:09:00,15,1,20.1,1.0,47.7,47.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:39,15,1,24.3,1.0,99.5,99.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:40,15,1,25.3,1.0,0.4,0.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:40,15,1,23.0,0.9,0.4,0.2,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:41,15,1,25.0,1.0,0.6,0.5,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:41,15,1,26.1,1.0,0.5,0.3,2,1,1.00,CYCLE,S
IND,208,7604,59467,18/02/2019,06:10:42,15,1,25.2,1.0,0.6,0.5,2,1,1.00,CYCLE,S
