DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,31602,59475,18/02/2019,04:50:01,15,0,15.9,1.1,282.4,282.4,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,04:59:07,15,1,27.1,1.0,828.4,828.5,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,05:45:26,15,0,17.5,1.0,3324.4,3324.2,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,05:56:45,15,0,17.2,1.0,679.7,679.4,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,05:58:13,15,1,22.5,1.0,3545.3,3545.2,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,06:01:14,15,1,28.9,0.9,181.6,181.4,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,06:08:34,15,0,17.2,1.1,709.0,708.7,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:14:21,15,0,12.7,1.1,346.5,346.3,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,06:19:53,15,1,25.9,1.0,1118.5,1118.3,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,06:20:39,15,0,14.9,1.1,378.2,377.9,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:21:02,15,0,19.3,1.0,22.6,22.3,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:22:03,15,0,23.6,1.0,61.0,60.8,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:23:08,15,0,22.7,1.1,65.5,65.3,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:27:06,15,0,10.3,1.1,237.6,237.5,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:31:11,15,0,17.3,1.1,245.6,245.2,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:38:50,15,0,17.2,1.0,459.0,458.8,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:39:12,15,0,25.3,1.0,21.2,20.9,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:40:29,15,0,23.4,1.0,77.8,77.6,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:41:00,15,0,27.6,1.0,30.6,30.4,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:42:41,15,0,16.1,1.0,100.7,100.6,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,06:46:33,15,1,24.0,1.0,1599.8,1599.6,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,06:47:43,15,0,15.9,1.0,302.6,302.4,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:49:01,15,0,11.1,1.0,78.2,78.0,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:50:41,15,0,17.0,1.1,99.4,99.1,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,06:52:54,15,0,16.6,1.1,132.9,132.6,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,07:05:53,15,1,27.4,1.0,1160.7,1160.5,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,07:11:10,15,1,30.8,1.0,316.6,316.5,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,07:11:14,15,1,24.5,1.0,4.2,4.1,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,07:13:44,15,0,21.1,1.0,1250.7,1250.5,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,07:20:58,15,0,15.6,1.1,433.2,433.0,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,07:21:36,15,0,19.3,1.1,38.2,37.9,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,07:25:27,15,0,17.1,1.0,231.1,230.9,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,07:30:37,15,1,27.8,1.0,1162.6,1162.4,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,07:34:20,15,1,32.1,1.0,223.9,223.7,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,07:38:11,15,0,26.2,1.0,763.8,763.6,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,07:38:13,15,0,26.5,1.0,1.8,1.7,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,07:38:18,15,0,23.5,1.0,5.5,5.3,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,07:42:25,15,1,24.9,1.0,484.9,484.8,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,07:45:18,15,1,27.4,1.0,172.7,172.5,2,1,1.00,CYCLE,S
IND,208,31602,59475,18/02/2019,07:50:12,15,0,14.5,1.0,714.1,713.9,2,1,1.00,CYCLE,N
IND,208,31602,59475,18/02/2019,08:05:56,15,0,16.8,1.1,943.9,943.6,2,1,1.00,CYCLE,N
IND,208,31602,59476,18/02/2019,08:14:12,15,1,19.6,1.0,1733.8,1733.7,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,08:14:13,15,1,22.5,1.0,0.8,0.6,2,1,1.00,CYCLE,S
IND,208,31602,59476,18/02/2019,08:14:13,15,1,22.4,1.0,0.5,0.3,2,1,1.00,CYCLE,S
