DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34216,63751,17/02/2020,11:46:01,15,2,18.6,1.0,20.2,19.4,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,11:46:29,15,1,25.8,1.0,96.7,96.2,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,12:03:28,15,2,13.0,1.0,112.3,111.9,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,12:16:19,15,1,22.3,1.0,59.8,59.4,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,12:25:31,15,1,24.9,1.1,90.3,90.0,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,12:27:33,15,1,25.3,1.0,16.9,16.7,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,12:28:41,15,2,14.8,1.0,26.1,25.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,12:28:42,15,2,16.4,1.0,1.2,0.9,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,12:32:39,15,1,25.4,1.0,40.1,39.4,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,12:45:02,15,2,21.3,1.0,76.7,76.4,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,12:46:55,15,1,24.5,1.1,74.4,73.7,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,12:56:31,15,1,25.9,1.0,67.6,67.3,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,13:00:06,15,1,24.6,1.1,29.5,28.9,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,13:07:59,15,0,14.8,0.8,2.9,1.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:14:54,15,2,14.7,1.0,100.0,99.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:23:09,15,2,24.1,1.1,39.9,39.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:23:27,15,2,19.1,1.0,17.9,17.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:30:25,15,2,18.5,0.9,14.0,13.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:30:47,15,2,21.0,1.1,22.0,21.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:39:21,15,2,18.0,1.0,7.3,6.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,13:41:11,15,2,14.0,0.9,109.7,109.4,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,13:45:30,15,1,24.8,1.0,46.4,45.8,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,13:45:30,15,1,25.2,1.0,0.4,0.2,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,13:57:29,15,2,15.5,1.1,97.1,96.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:02:11,15,2,14.7,1.0,39.6,39.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:02:12,15,2,14.3,1.0,0.9,0.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:05:47,15,2,17.2,1.0,19.3,18.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:13:45,15,2,12.9,1.0,50.7,50.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:19:11,15,2,24.9,1.0,31.4,31.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:27:32,15,2,22.1,1.0,44.2,43.9,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,14:30:29,15,1,25.6,1.0,120.8,120.5,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,14:36:02,15,1,21.5,1.1,64.9,64.5,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,14:36:37,15,2,23.3,1.0,10.9,10.6,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,14:44:48,15,1,24.1,1.1,3.3,2.9,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,14:46:21,15,1,24.9,1.1,82.3,81.6,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,14:51:00,15,1,25.9,1.1,66.5,66.1,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,14:51:09,15,2,11.3,1.0,7.4,7.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,14:54:37,15,2,16.2,1.1,16.9,16.6,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,15:00:08,15,1,24.3,1.0,3.2,2.5,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,15:02:17,15,2,17.4,1.1,17.5,17.2,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,15:06:07,15,1,26.3,1.0,27.7,27.5,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,15:06:38,15,2,19.4,1.1,10.3,10.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:15:22,15,2,22.3,1.1,25.3,24.6,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,15:16:10,15,1,25.8,1.1,17.1,16.5,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,15:16:38,15,2,15.9,1.1,38.1,37.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:18:20,15,2,19.5,1.0,10.5,10.2,2,1,1.00,CYCLE,S
IND,208,34216,63750,17/02/2020,15:18:21,15,1,29.2,1.0,5.8,5.2,2,1,1.00,CYCLE,N
IND,208,34216,63750,17/02/2020,15:18:29,15,1,26.3,1.1,7.5,7.3,2,1,1.00,CYCLE,N
IND,208,34216,63751,17/02/2020,15:18:32,15,2,18.6,1.1,7.6,7.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:18:33,15,2,20.7,1.1,0.7,0.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:18:37,15,2,15.2,1.0,4.2,4.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:19:16,15,2,16.4,1.0,5.1,4.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:19:37,15,2,21.7,1.0,4.7,4.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:19:52,15,2,21.8,1.0,7.1,6.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:19:53,15,2,27.9,1.1,1.7,1.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:19:57,15,2,14.4,0.9,3.6,3.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,17/02/2020,15:20:59,15,2,26.3,1.0,8.6,8.0,2,1,1.00,CYCLE,S
