DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,31747,59708,23/12/2019,01:36:41,15,0,40.4,1.1,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,04:46:10,15,1,45.1,1.1,11368.4,11368.5,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,07:10:46,15,1,35.1,1.0,8676.0,8675.9,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,07:15:56,15,0,16.9,0.9,20354.9,20354.8,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,07:15:57,15,0,17.2,0.9,0.5,0.3,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,07:15:57,15,0,17.3,1.1,0.4,0.2,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,07:32:45,15,1,29.5,1.1,1318.9,1318.8,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,08:08:51,15,0,15.9,0.9,3173.4,3173.2,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,08:29:27,15,1,32.1,1.0,3401.8,3401.7,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,08:37:19,15,0,13.8,1.0,1708.4,1708.1,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,09:00:14,15,1,20.2,1.0,1847.4,1847.3,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,09:00:15,15,1,24.8,1.0,0.8,0.7,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,09:09:07,15,1,30.9,1.0,532.6,532.4,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,09:30:38,15,0,18.2,1.0,3199.5,3199.2,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,09:34:32,15,0,5.2,0.6,233.6,233.4,2,1,0.80,CYCLE,E
IND,208,31747,59709,23/12/2019,09:36:38,15,1,33.8,1.0,1650.4,1650.2,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,09:48:17,15,0,11.7,1.0,825.4,825.0,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,09:48:27,15,0,11.4,1.0,8.7,8.4,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,09:56:28,15,0,5.3,1.0,480.5,480.2,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,09:56:34,15,0,9.2,1.1,6.7,6.0,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,10:01:48,15,1,24.9,1.2,1510.2,1510.1,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,10:12:39,15,0,22.1,1.2,965.0,964.6,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,10:16:19,15,0,17.0,1.0,219.6,219.4,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,10:16:25,15,0,13.9,1.0,6.4,6.2,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,11:11:55,15,1,28.6,1.0,4207.1,4207.0,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,11:13:41,15,0,12.3,1.0,3435.3,3435.1,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:13:41,15,0,12.3,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,11:29:55,15,1,27.9,1.1,1079.4,1079.3,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,11:39:05,15,0,16.2,1.0,1524.6,1524.2,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:39:05,15,0,16.2,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:39:12,15,0,13.6,1.0,7.0,6.6,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:39:12,15,0,13.6,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:39:26,15,0,8.6,1.0,13.3,12.8,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,11:39:26,15,0,8.6,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,11:51:59,15,1,12.7,1.0,1324.3,1324.2,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,11:51:59,15,1,12.7,1.0,0.0,0.0,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,12:48:17,15,0,10.3,1.0,4131.2,4130.7,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,12:49:44,15,1,23.7,1.1,3464.9,3464.3,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,12:55:18,15,1,25.5,1.0,334.2,334.1,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,12:55:22,15,1,23.8,1.1,3.6,3.5,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,12:55:26,15,1,23.0,1.2,4.0,3.8,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,13:18:04,15,0,22.2,1.0,898.7,898.3,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,13:37:22,15,1,27.4,1.2,2516.6,2516.4,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,13:37:30,15,1,24.8,1.1,7.5,7.3,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,13:37:54,15,1,26.9,1.0,24.0,23.8,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,13:53:36,15,0,16.4,1.0,2131.4,2131.3,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,14:01:39,15,0,10.5,1.1,483.9,483.6,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,14:08:53,15,0,9.3,1.0,433.6,433.3,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,15:00:09,15,1,26.0,1.1,4935.1,4935.0,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,15:12:14,15,0,19.0,1.0,3801.4,3801.0,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,15:15:50,15,1,24.0,1.1,941.1,940.9,2,1,1.00,CYCLE,W
IND,208,31747,59709,23/12/2019,16:05:56,15,1,28.2,1.1,3005.8,3005.6,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,16:13:07,15,0,9.1,1.1,3652.9,3652.7,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,16:19:57,15,0,15.3,0.9,409.9,409.5,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,17:22:10,15,1,31.0,1.1,4574.5,4574.4,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,17:30:22,15,0,13.4,1.0,4224.4,4224.2,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,17:36:07,15,0,18.1,1.0,344.9,344.6,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,17:48:59,15,0,9.7,1.1,772.6,772.4,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,18:04:22,15,0,13.6,1.1,923.0,922.6,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,18:04:26,15,0,11.0,0.9,3.5,3.2,2,1,1.00,CYCLE,E
IND,208,31747,59708,23/12/2019,18:04:27,15,0,7.6,1.1,1.4,1.1,2,1,1.00,CYCLE,E
IND,208,31747,59709,23/12/2019,18:19:41,15,1,26.1,1.1,3451.0,3450.9,2,1,1.00,CYCLE,W
IND,208,31747,59708,23/12/2019,19:26:30,15,0,18.7,1.1,4923.3,4922.8,2,1,1.00,CYCLE,E
